A,B,C,D,E,F,G
True,False,False,False,False,False,False
False,True,False,False,False,False,False
False,False,True,False,False,False,False
False,False,False,True,False,False,False
False,False,False,True,False,False,False
False,False,True,False,False,False,False
False,False,True,False,False,False,False
False,False,True,False,False,False,False
False,False,True,False,False,False,False
False,True,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,True,False,False,False
False,False,True,False,False,False,False
False,False,True,False,False,False,False
False,False,True,False,False,False,False
False,False,False,True,False,False,False
False,False,False,True,False,False,False
False,False,True,False,False,False,False
False,True,False,False,False,False,False
False,True,False,False,False,False,False
False,False,True,False,False,False,False
False,False,False,True,False,False,False
False,False,True,False,False,False,False
False,True,False,False,False,False,False
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
